ho,newx,newy,pixelx,pixely,xoff,yoff,pitch,roll
62.5543463503,2000.28938234,1305.80718418,2012.50730428,1286.89718532,64.2893823444,-9.80718418174,62.62,-0.54
63.9041839469,1784.18684666,1104.17169258,1794.51402473,1087.30733719,-151.813153342,191.828307422,62.62,-0.54
63.2738471205,2862.828259,1198.32989072,2873.99493846,1171.29554819,926.828258997,97.6701092827,62.62,-0.54
63.0341336844,1962.41869038,1234.13770689,1973.96283536,1215.58780866,26.4186903845,61.8622931097,62.62,-0.54
64.3829716187,1748.4057443,1032.65154244,1758.06045996,1016.12758742,-187.594255699,263.348457561,62.62,-0.54
63.1102477559,2876.27354066,1222.76797008,2887.66994304,1195.60582526,940.273540659,73.2320299216,62.62,-0.54
62.8577415405,1976.06061567,1260.48674084,1987.85248489,1241.80710215,40.0606156701,35.5132591639,62.62,-0.54
64.2029459819,1761.6378848,1059.5433388,1771.54545824,1042.8934813,-174.362115202,236.456661201,62.62,-0.54
62.8097555745,2902.60886862,1267.65476896,2914.42714322,1240.24242965,966.608868618,28.3452310408,62.62,-0.54
62.5313921687,2002.30285916,1309.2360246,2014.55300725,1290.30689716,66.3028591565,-13.2360245978,62.62,-0.54
63.8702093343,1787.06977867,1109.24673845,1797.44465918,1092.35498708,-148.930221327,186.753261552,62.62,-0.54
63.3291891073,2858.15542576,1190.06303792,2869.24440066,1163.07310231,922.155425763,105.93696208,62.62,-0.54
63.0942444983,1957.82149182,1225.15849818,1969.28121517,1206.65232567,21.8214918159,70.8415018246,62.62,-0.54
64.4442439863,1743.96965785,1023.49882362,1753.53830947,1007.01708362,-192.030342149,272.501176378,62.62,-0.54
62.7009826853,2911.92196816,1283.90300137,2923.89296286,1256.40216783,975.921968158,12.0969986273,62.62,-0.54
62.4135129576,2011.54281856,1326.84453746,2023.95851015,1307.8275447,75.5428185604,-30.844537458,62.62,-0.54
63.7500313223,1796.02818623,1127.19864065,1806.57185906,1110.22166223,-139.971813771,168.801359345,62.62,-0.54
62.889467281,2895.58185863,1255.74762607,2907.28822481,1228.40204262,959.581858634,40.2523739279,62.62,-0.54
62.6179052388,1995.2954566,1296.31291039,2007.42412023,1277.45039914,59.2954565957,-0.312910391152,62.62,-0.54
63.9583841927,1780.26981044,1096.0753903,1790.52085776,1079.24831115,-155.730189557,199.924609696,62.62,-0.54
62.5433945285,2925.79548835,1307.44314097,2937.98772419,1279.81050903,989.795488347,-11.4431409701,62.62,-0.54
